Date,Positive,Negative,Neutral,NEO,NVolume,BTC,BVolume,ETH,EVolume
2021-03-12,12,5,0,39.88789,728134064,57332.089844,55689944702,1772.102417,22435821312
2021-03-11,14,5,6,41.777668,762752864,57805.121094,56772343595,1826.194946,24013132909
2021-03-10,12,7,0,40.907307,837725649,56008.550781,57295577614,1799.16626,25154173185
2021-03-09,15,12,5,42.651585,834124790,54824.117188,50912227385,1868.048828,23461244507
2021-03-08,12,7,5,40.022926,633208025,52246.523438,48597428048,1834.727905,27630991158
2021-03-07,14,4,2,39.274742,542345515,51206.691406,43137459378,1723.153809,23809935410
2021-03-06,9,6,1,38.061592,561377627,48912.382813,34363564661,1654.741577,22746262366
2021-03-05,8,8,2,37.536369,721060001,48927.304688,48625928883,1533.275024,21067146937
2021-03-04,8,3,5,37.96492,795239774,48561.167969,52343816680,1541.914307,22906118718
2021-03-03,13,3,4,39.759621,893222244,50538.242188,53220811975,1575.853149,22674780680
2021-03-02,11,3,2,37.670464,782221652,48378.988281,47530897720,1492.608765,22523669722
2021-03-01,10,2,1,38.145668,864930653,49631.242188,53891300112,1564.707642,24032838645
2021-02-28,6,4,5,35.091141,964628015,45137.769531,53443887451,1416.04895,27637026080
2021-02-27,6,2,3,37.336731,768071378,46188.453125,45910946382,1459.973145,20742103233
2021-02-26,7,2,1,37.641758,1158416312,46339.761719,350967941479,1446.033691,31435997881
2021-02-25,13,6,8,38.318775,1064640476,47093.851563,54506565949,1475.703735,24481681873
2021-02-24,17,3,4,40.701122,1500823174,49705.332031,63695521388,1626.575684,31329000537
2021-02-23,7,10,7,38.519299,2054924678,48824.425781,106102492824,1570.203979,52029864713
2021-02-22,17,13,6,47.041515,2205914900,54207.320313,92052420332,1781.99292,42409646036
2021-02-21,66,42,19,54.607117,2734374270,57539.945313,51897585191,1935.601074,23626547717
2021-02-20,11,13,5,44.057323,1389656551,56099.519531,68145460026,1919.534058,34696091102
2021-02-19,29,19,10,47.896557,1698129766,55888.132813,63495496918,1960.164795,26268814253
2021-02-18,16,7,2,43.989735,1081106080,51679.796875,52054723579,1937.449219,28255902969
2021-02-17,8,3,2,42.515461,1668883398,52149.007813,80820545404,1848.458252,35955412703
2021-02-16,12,4,6,40.957405,1955672376,49199.871094,77049582886,1781.067505,34269369268
2021-02-15,17,7,6,41.495602,2556989308,47945.058594,77069903166,1779.791016,38955610883
2021-02-14,44,28,12,44.451595,2703631532,48717.289063,71248675228,1805.084106,31439114900
2021-02-13,30,24,16,42.313725,2480436245,47105.515625,70250456155,1814.109863,35359490535
2021-02-12,21,7,5,37.769962,1622172448,47504.851563,76555041196,1843.532593,37905036865
2021-02-11,21,14,6,36.389034,2254113590,47909.332031,81388911810,1783.797974,36021495262
2021-02-10,43,12,7,33.553566,2635786138,44918.183594,87301089896,1744.243408,41916084617
2021-02-09,50,29,15,30.997744,1991125482,46481.105469,91809846886,1768.035034,44180727529
2021-02-08,6,5,2,27.311245,1196269971,46196.464844,101467222687,1746.616821,48012285956
2021-02-07,9,3,4,24.536674,873846113,38903.441406,65500641143,1614.227783,39889440151
2021-02-06,11,11,1,24.85363,907170715,39266.011719,71326033653,1677.846802,39873420648
2021-02-05,14,9,5,26.143332,945035473,38144.308594,58598066402,1718.650879,40108628454
2021-02-04,15,6,5,23.735632,770045905,36926.066406,68838074392,1594.762695,44396871836
2021-02-03,28,6,4,24.711908,748535993,37472.089844,61166818159,1660.909546,41874566399
2021-02-02,8,3,2,23.732979,652275726,35510.289063,63088585433,1515.193726,45437142801
2021-02-01,9,4,3,23.125431,837062062,33537.175781,61400400660,1369.040527,29210670920
2021-01-31,11,5,4,22.316113,716164037,33114.359375,52754542671,1314.986206,25198853581
2021-01-30,8,2,2,22.845341,662265097,34269.523438,65141828798,1376.115479,30616574234
2021-01-29,13,4,1,22.647989,958648054,34316.386719,117894572511,1382.522827,53611955259
2021-01-28,10,2,3,22.347231,720465621,31649.605469,78948162368,1298.101807,39790481941
2021-01-27,7,5,3,21.076422,647178794,30432.546875,62576762015,1253.187134,39394416990
2021-01-26,7,3,3,23.188177,652013689,32569.849609,60255421470,1357.058105,41572917750
2021-01-25,7,9,2,23.343636,708629057,32366.392578,59897054838,1324.414795,43565777745
2021-01-24,8,4,1,24.472521,825634863,32289.378906,48643830599,1391.609375,36418163554
2021-01-23,9,5,1,24.396715,962635755,32067.642578,48354737975,1230.990601,27253895441
2021-01-22,6,5,2,23.50388,934465361,33005.761719,77207272511,1236.512207,43918338506
2021-01-21,3,8,5,22.081558,1063264491,30825.699219,75643067688,1121.570923,45932464754
2021-01-20,9,6,3,26.091555,1161728804,35547.75,66834573161,1382.274048,46784030909
2021-01-19,29,14,10,26.533783,1357906534,36069.804688,57244195486,1377.295898,47195935190
2021-01-18,48,33,18,27.113384,1646875434,36630.074219,49511702429,1257.279541,25817455560
2021-01-17,11,12,5,23.834684,941229932,35791.277344,52359854336,1230.172241,29258032819
2021-01-16,6,8,3,23.679665,1065185800,36178.140625,57706187875,1233.537598,32319240157
2021-01-15,20,16,3,23.498379,1450579738,36825.367188,67760757881,1171.834595,35972039310
2021-01-14,8,7,5,23.004623,1018166710,39187.328125,63615990033,1218.453003,33410915929
2021-01-13,12,7,1,23.214455,1107875794,37316.359375,69364315979,1130.73938,30109792795
2021-01-12,19,10,1,21.951876,1322795752,33922.960938,74773277909,1043.43457,37494601692
2021-01-11,59,33,21,23.775621,2780534347,35566.65625,123320567399,1090.145386,60733630300
2021-01-10,21,12,14,24.98313,1929903781,38356.441406,79980747690,1262.246704,40616938053
2021-01-09,12,8,4,21.310072,1045266208,40254.546875,61984162837,1281.077271,33233105361
2021-01-08,12,4,7,19.850292,1084980562,40797.609375,88107519480,1224.197144,44334826666
2021-01-07,17,13,14,20.865433,1580102395,39371.042969,84762141031,1225.678101,40468027280
2021-01-06,19,23,11,19.46203,1263551435,36824.363281,75289433811,1207.112183,44699914188
2021-01-05,11,4,3,16.888006,707236589,33992.429688,67547324782,1100.006104,41535932781
2021-01-04,13,6,5,16.278473,819828941,31971.914063,81163475344,1040.233032,56945985763
2021-01-03,20,10,3,15.960466,644824666,32782.023438,78665235202,975.50769,45200463368
2021-01-02,4,5,1,14.437279,420582504,32127.267578,67865420765,774.534973,19740771179
2021-01-01,11,1,2,14.501692,346481684,29374.152344,40730301359,730.367554,13652004358
2020-12-31,6,6,1,14.317707,339902066,29001.720703,46754964848,737.803406,13926846861
2020-12-30,7,4,0,14.732912,367294042,28840.953125,51287442704,751.618958,17294574210
2020-12-29,4,5,3,15.048743,495298321,27362.4375,45265946774,731.520142,18710683199
2020-12-28,5,9,5,15.606667,492609607,27084.808594,49056742893,730.397339,24222565862
2020-12-27,9,4,3,15.095497,552614642,26272.294922,66479895605,682.642334,26093552821
2020-12-26,2,4,0,14.952712,462260004,26437.037109,48332647295,635.835815,14761125202
2020-12-25,1,4,0,15.1607,532805501,24664.791016,42068395846,626.410706,13520927700
2020-12-24,3,3,1,15.26543,595408618,23735.949219,41080759713,611.607178,14317413703
2020-12-23,3,4,3,13.459212,636508498,23241.345703,51146161904,583.7146,15261413038
2020-12-22,6,6,0,16.535425,530571054,23783.029297,44171632681,634.854187,14745890080
2020-12-21,4,6,2,16.612907,612702935,22803.082031,45852713981,609.817871,14419493621
2020-12-20,4,4,2,17.565624,456154855,23477.294922,37844228422,638.290833,13375855442
2020-12-19,6,4,3,17.845007,402369100,23869.832031,38487546580,659.297913,12830893778
2020-12-18,8,3,0,17.940992,482688606,23137.960938,40387896275,654.811951,15756303983
2020-12-17,5,2,1,17.74115,674477704,22805.162109,71378606374,642.868958,25479532147
2020-12-16,7,1,0,17.869263,466310352,21310.597656,44409011479,636.181824,15817248373
2020-12-15,3,3,1,17.112276,352294416,19417.076172,26741982541,589.355591,9326645840
2020-12-14,3,3,0,17.391203,316369958,19246.644531,22473997681,586.011169,8125837102
2020-12-13,4,1,0,17.279873,402042134,19142.382813,25450468637,589.663208,9070377862
2020-12-12,2,3,0,16.476187,327952282,18803.65625,21752580802,568.567322,8534557897
2020-12-11,5,1,1,15.94564,427090713,18058.904297,27919640985,545.797363,11098819124
2020-12-10,6,1,2,16.261902,386973088,18264.992188,25547132265,559.678528,11672582040
2020-12-09,3,1,2,16.881952,492144065,18553.916016,34420373071,573.479126,15855915840
2020-12-08,6,1,1,16.464685,442835914,18321.144531,31692288756,554.827759,14398919320
2020-12-07,3,2,1,17.42963,353910195,19191.630859,26896357742,591.843384,10720480962
2020-12-06,3,2,1,17.893995,340083848,19345.121094,25293775714,601.908997,11290893016
2020-12-05,2,5,0,17.932405,402242304,19154.230469,27242455064,596.595459,13498010566
2020-12-04,5,5,2,17.350056,566020531,18699.765625,33872388058,569.354187,16337589997
2020-12-03,9,3,0,18.842426,548003838,19445.398438,31930317405,616.70874,16146190946
2020-12-02,4,3,0,18.039431,603047038,19201.091797,37387697139,598.352356,16883292129
2020-12-01,9,10,0,17.583252,756152547,18802.998047,49633658712,587.324158,27178964465
2020-11-30,6,2,1,18.518721,650710753,19625.835938,47728480399,614.842529,20276867833
2020-11-29,6,2,1,17.747086,507293681,18177.484375,31133957704,575.758057,15017517758
2020-11-28,3,1,1,17.594044,600303172,17717.414063,32601040734,538.229797,14770243833
2020-11-27,6,8,3,17.091003,692666881,17108.402344,38886494645,517.493713,16831105703
2020-11-26,4,2,4,17.148787,1206541705,17150.623047,61396835737,518.801147,31104004592
2020-11-25,21,9,2,19.619787,1074171014,18732.121094,43710357371,570.686646,20088492893
2020-11-24,19,6,6,20.416649,1342351962,19107.464844,51469565009,603.897766,23281758100
2020-11-23,22,12,8,19.092522,850859398,18364.121094,42741112308,608.454041,27272302872
2020-11-22,6,2,2,17.135157,870219583,18370.001953,41280434226,558.068115,21967049601
2020-11-21,10,3,3,18.235146,879458544,18642.232422,39650210707,549.486633,20757099184
2020-11-20,12,6,2,16.466764,559364639,18621.314453,36992873940,509.744568,18629943296
2020-11-19,10,5,1,16.097151,509949989,17817.089844,36985055355,471.630432,12473929218
2020-11-18,6,2,0,15.724635,568401518,17804.005859,49064800278,479.48407,17880199224
